mesa,pregunta,contenido_pregunta
D,1,¿De qué forma la capacidad de modelamiento computacional de las sociedades humanas predestinará su futuro?
D,2,"¿Podrá la tecnología ayudar a un desarrollo completo de una ciencia específica, de tal manera que, eventualmente, se puedan contestar todas las preguntas que ella planta?"
D,3,¿Cómo podemos armonizar la creciente automatización de los procesos productivos con las creciente demandas por justicia social?
D,4,¿Qué haremos con toda la información que tenemos disponibles? ¿Cómo la podemos procesar?
F,1,¿Cómo cambia la subjetividad humana con la entrada de tecnologías digitales?
F,2,¿Cuáles seran las consecuencias que tendrá el desarrollo de máquinas o sistemas inteligentes en los humanos y en la forma qué nos organizamos?
F,3,¿Es la minería una industria sustentable en el futuro?
F,4,¿Cómo se organizan y funcionan los ecosistemas de las grandes profundidades del océano?
A,1,"¿Cómo hacer de nuestras ciudades, ciudades resilentes en un mundo cambiante?"
A,2,¿Cómo redifinir las frontreras de la acción estatal en relación a problemas ambientales; y cuál es el rol de la academia en el proceso?
A,3,¿Cómo responderán los ecosistemas patagónicos al derritimiento de glaciares y cambios en precipitaciones?
A,4,¿Como optimizar de modo integral el uso del agua?
C,1,¿Por qué se desarrollan las células cancerígenas?
C,2,¿Cómo podemos emplear mecanismo de regulación de proteínas (canales iónicos) en el tratamiento de enfermedades?
C,3,"¿Cómo entender las relaciones de reciprocidad entre fenómenos sociales, físicos, biológicos y las interacciones complejas entre ellos?"
C,4,¿Cómo se vincula la formación docente con las necesidades de los niños del siglo XXI?
C,5,¿La forma de aprendizaje de hoy es compatibe con nuestra forma de enseñanza?
J,1,"Es posible desarrollar un proceso de innovación social basado en un cambio de paradigma productivo hacia uno basado en la agricultura ecológica, que revierta la crisis de la pequeño agricultura restaurandando la salud de los agroecosistemas, reduzca riesgos a la salud, mejore los ingresos y revitalice por tanto las zonas rurales"
J,2,"¿Cómo afecta al agro la disposición de información? (Big Data, Internet de la cosas)"
J,3,¿Cómo agregamos valor a productos alimentarios mediante nuevas tecnologías?
J,4,¿Cómo aprovechar oportunidades territoriales para el desarrollo de alimentos para la salud?
E,1,"¿Cómo incorporar el comportamiento humano en el diseño óptimo de productos, servicios, procesos y organizaciones?"
E,2,¿Cómo vamos a utilizar los nuevos modelos de computación (ej: cuántica) para resolver problemas que computacionalmente son muy complejos?
E,3,¿Cómo gestionar los volúmenes crecientes de información en armonía con el desarrollo humano?